time,item001,item002,item003,item004
1,700,0,150,300
2,400,0,450,210
3,300,0,900,300
4,250,0,750,370
5,300,0,300,700
6,400,0,510,300
7,300,0,900,130
8,1000,0,450,400
9,200,0,450,250
10,490,0,750,310
11,370,0,705,300
12,300,0,750,100
13,847,0,177,352
14,484,0,532,246
15,363,0,1064,352
16,303,0,887,434
17,363,0,355,821
18,484,0,603,352
19,363,0,1064,153
20,1210,0,532,469
21,242,0,532,293
22,593,0,887,364
23,448,0,834,352
24,363,0,887,117
25,1016,0,209,411
26,581,0,626,288
27,436,0,1252,411
28,363,0,1044,507
29,436,0,417,960
30,581,0,710,411
31,436,0,1252,178
32,1452,0,626,549
33,290,0,626,343
34,711,0,1044,425
35,537,0,981,411
36,436,0,1044,137
37,1211,0,245,479
38,692,0,734,335
39,519,0,1467,479
40,433,0,1223,591
41,519,0,489,1118
42,692,0,832,479
43,519,0,1467,208
44,1730,0,734,639
45,346,0,734,399
46,848,0,1223,495
47,640,0,1149,479
48,519,0,1223,160
49,1435,0,285,556
50,820,0,856,389
51,615,0,1713,556
52,512,0,1427,686
53,615,0,571,1298
54,820,0,971,556
55,615,0,1713,241
56,2050,0,856,742
57,410,0,856,464
58,1004,0,1427,575
59,758,0,1342,556
60,615,0,1427,185
61,1691,0,332,644
62,966,0,997,451
63,725,0,1993,644
64,604,0,1661,795
65,725,0,664,1503
66,966,0,1129,644
67,725,0,1993,279
68,2416,0,997,859
69,483,0,997,537
70,1184,0,1661,666
71,894,0,1561,644
72,725,0,1661,215
73,1984,0,385,744
74,1134,0,1156,521
75,850,0,2312,744
76,709,0,1927,918
77,850,0,771,1736
78,1134,0,1310,744
79,850,0,2312,322
80,2834,0,1156,992
81,567,0,1156,620
82,1389,0,1927,769
83,1049,0,1811,744
84,850,0,1927,248
85,2319,0,446,857
86,1325,0,1337,600
87,994,0,2675,857
88,828,0,2229,1058
89,994,0,892,2001
90,1325,0,1516,857
91,994,0,2675,372
92,3313,0,1337,1143
93,663,0,1337,715
94,1623,0,2229,886
95,1226,0,2095,857
96,994,0,2229,286
97,2701,0,514,986
98,1543,0,1543,690
99,1158,0,3087,986
100,965,0,2572,1216
101,1158,0,1029,2301
102,1543,0,1749,986
103,1158,0,3087,427
104,3858,0,1543,1315
105,772,0,1543,822
106,1891,0,2572,1019
107,1428,0,2418,986
108,1158,0,2572,329
109,3136,0,592,1132
110,1792,0,1777,792
111,1344,0,3555,1132
112,1120,0,2962,1396
113,1344,0,1185,2641
114,1792,0,2014,1132
115,1344,0,3555,490
116,4480,0,1777,1509
117,896,0,1777,943
118,2195,0,2962,1170
119,1658,0,2784,1132
120,1344,0,2962,377
